Indian_medicinal_plant,Plant_part,IMPPAT_Phytochemical_identifier,Phytochemical_name,References
Curcuma aromatica,rhizome,IMPHY007427,Xanthorrhizol,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746, ISBN:9788172362133, ISBN:9788185042145"
Curcuma aromatica,rhizome,IMPHY007574,Curcumin,"ISBN:9788172362133, ISBN:9788172362140"
Curcuma aromatica,rhizome,IMPHY007852,Azulene,ISBN:9770972795006
Curcuma aromatica,rhizome,IMPHY009626,2-Nonanol,"DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209, ISBN:9770972795006"
Curcuma aromatica,rhizome,IMPHY009642,2-Nonanone,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,rhizome,IMPHY009688,"3,7(11)-Eudesmadiene",DOI:10.1002/ffj.2730070105
Curcuma aromatica,rhizome,IMPHY009740,Camphene hydrate,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,rhizome,IMPHY010049,Artesin[sesquiterpene],ISBN:9788172362133
Curcuma aromatica,rhizome,IMPHY010072,Eucalyptol,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209, ISBN:9788172362133, ISBN:9788185042114"
Curcuma aromatica,rhizome,IMPHY010080,beta-Elemene,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY010541,1-Bisabolone,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,rhizome,IMPHY010596,1-Methyloctyl acetate,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,rhizome,IMPHY010611,Curzerene,"DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209, ISBN:9788172362133, ISBN:9788185042114"
Curcuma aromatica,rhizome,IMPHY010654,Methylzedoarondiol,ISBN:9788172362133
Curcuma aromatica,rhizome,IMPHY010676,(+)-Curcumenol,DOI:10.1002/ffj.2730070105
Curcuma aromatica,rhizome,IMPHY010677,Curcuphenol,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY011027,Turmerol,DOI:10.1002/ffj.2730070105
Curcuma aromatica,rhizome,IMPHY011087,alpha-Turmerone,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,rhizome,IMPHY011396,4-Carvomenthenol,"DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY011521,2-Undecanone,"DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031"
Curcuma aromatica,rhizome,IMPHY011542,beta-Eudesmol,"DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031"
Curcuma aromatica,rhizome,IMPHY011552,(1R)-2-methyl-5-propan-2-ylbicyclo[3.1.0]hex-2-ene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,rhizome,IMPHY011557,4-Isopropylbenzyl alcohol,DOI:10.1002/ffj.2730040106
Curcuma aromatica,rhizome,IMPHY011563,Curzerenone,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY011590,d-Borneol,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209, ISBN:9788172362133, ISBN:9788185042114"
Curcuma aromatica,rhizome,IMPHY011599,Terpinolene,"DOI:10.1002/ffj.2730040106,DOI:10.1080/10412905.1996.9701031"
